"Stat","NFL_Average","Chargers"
"Sacks",0.027847311809584,0.0265894236482472
"EPA",-0.00555472985167201,0.0021013801533653
"Completion Percentage Allowed",0.260732684602175,0.261586452762923
"Interceptions",0.00928243726986134,0.00980392156862745
