"Stat","NFL_Average","Chargers"
"Yards Gained",5.33966034522107,5.52151193171921
"EPA",0.0146560922553759,0.0587276987537975
"Completion Percentage",0.339754972085075,0.375370144574116
"Interceptions",0.0120955397349335,0.0118446263717122
