"Stat","Playoff_Team_Average","Chargers"
"Sacks",0.0293560283687943,0.0265894236482472
"EPA",-0.00929400057674526,0.0021013801533653
"Completion Percentage Allowed",0.272136170212766,0.261586452762923
"Interceptions",0.00990070921985816,0.00980392156862745
