"player_name","average_explosive_plays_per_game"
"J.Love",1.1
"K.Pickett",1.1
"T.Sermon",1.1
"K.Cousins",1.09090909090909
"C.Lamb",1.07142857142857
"A.Abdullah",1
"A.Dulin",1
"A.Estime",1
"A.Lazard",1
"A.McFarland",1
"A.Mitchell",1
"A.Rogers",1
"A.Williams",1
"A.Wilson",1
"Aa.Rodgers",1
"Am.Rodgers",1
"B.Aiyuk",1
"B.Berrios",1
"B.Bowers",1
"B.Cooks",1
"B.Corum",1
"B.Gillikin",1
"B.Skowronek",1
"B.Thomas",1
"C.Austin",1
"C.Batson",1
"C.Beathard",1
"C.Brooks",1
"C.Carson",1
"C.Clement",1
"C.Godwin",1
"C.Grayson",1
"C.Ham",1
"C.Hyde",1
"C.Keenum",1
"C.Kirk",1
"C.Kupp",1
"C.McCoy",1
"C.Moore",1
"C.Ridley",1
"C.Samuel",1
"C.Tune",1
"C.Watson",1
"Co.Heyward",1
"D.Brown",1
"D.Carr",1
"D.Carter",1
"D.Dallas",1
"D.Davis",1
"D.Douglas",1
"D.Eskridge",1
"D.Felton",1
"D.Lock",1
"D.Mooney",1
"D.Moore",1
"D.Ogunbowale",1
"D.Pettis",1
"D.Robinson",1
"D.Slayton",1
"D.Thompkins",1
"D.Turner",1
"D.Vaughn",1
"D.Webb",1
"De.Jackson",1
"Dj.Moore",1
"E.Engram",1
"E.Ezukanma",1
"E.Gray",1
"E.Moore",1
"E.Sanders",1
"E.St. Brown",1
"F.Swain",1
"G.Bernard",1
"G.Dortch",1
"G.Everett",1
"G.Olszewski",1
"G.Pickens",1
"H.Haskins",1
"I.Abanikanda",1
"I.Davis",1
"I.McKenzie",1
"I.Spiller",1
"J.Cabinda",1
"J.Chase",1
"J.Chestnut",1
"J.Darden",1
"J.Dotson",1
"J.Flacco",1
"J.Grant",1
"J.Guyton",1
"J.Hardy",1
"J.Hasty",1
"J.Jefferson",1
"J.Johnson",1
"J.Jones",1
"J.Kelly",1
"J.Landry",1
"J.McMillan",1
"J.Meyers",1
"J.Richard",1
"J.Ross",1
"J.Waddle",1
"J.Washington",1
"J.White",1
"J.Wolford",1
"K.Allen",1
"K.Ballage",1
"K.Hamler",1
"K.Harris",1
"K.Hinton",1
"K.Juszczyk",1
"K.Nixon",1
"K.Osborn",1
"K.Raymond",1
"K.Shakir",1
