"Stat","Playoff_Team_Average","Chargers"
"Yards Gained",5.39148374901253,5.52151193171921
"EPA",0.0267547598479109,0.0587276987537975
"Completion Percentage",0.340960388218034,0.375370144574116
"Interceptions",0.0116803972463605,0.0118446263717122
