"season","avg_sacks_ARI","avg_sacks_BAL","avg_sacks_BUF","avg_sacks_CIN","avg_sacks_CLE","avg_sacks_DEN","avg_sacks_IND","avg_sacks_JAX","avg_sacks_KC","avg_sacks_LA","avg_sacks_LAC","avg_sacks_LV","avg_sacks_NE","avg_sacks_PIT","avg_sacks_SEA","avg_sacks_SF","avg_sacks_TEN","avg_sacks_CHI","avg_sacks_DET","avg_sacks_GB","avg_sacks_HOU","avg_sacks_MIA","avg_sacks_MIN","avg_sacks_ATL","avg_sacks_CAR","avg_sacks_NO","avg_sacks_NYJ","avg_sacks_TB","avg_sacks_DAL","avg_sacks_NYG","avg_sacks_PHI","avg_sacks_WAS","avg_epa_ARI","avg_epa_BAL","avg_epa_BUF","avg_epa_CIN","avg_epa_CLE","avg_epa_DEN","avg_epa_IND","avg_epa_JAX","avg_epa_KC","avg_epa_LA","avg_epa_LAC","avg_epa_LV","avg_epa_NE","avg_epa_PIT","avg_epa_SEA","avg_epa_SF","avg_epa_TEN","avg_epa_CHI","avg_epa_DET","avg_epa_GB","avg_epa_HOU","avg_epa_MIA","avg_epa_MIN","avg_epa_ATL","avg_epa_CAR","avg_epa_NO","avg_epa_NYJ","avg_epa_TB","avg_epa_DAL","avg_epa_NYG","avg_epa_PHI","avg_epa_WAS","avg_completion_pct_ARI","avg_completion_pct_BAL","avg_completion_pct_BUF","avg_completion_pct_CIN","avg_completion_pct_CLE","avg_completion_pct_DEN","avg_completion_pct_IND","avg_completion_pct_JAX","avg_completion_pct_KC","avg_completion_pct_LA","avg_completion_pct_LAC","avg_completion_pct_LV","avg_completion_pct_NE","avg_completion_pct_PIT","avg_completion_pct_SEA","avg_completion_pct_SF","avg_completion_pct_TEN","avg_completion_pct_CHI","avg_completion_pct_DET","avg_completion_pct_GB","avg_completion_pct_HOU","avg_completion_pct_MIA","avg_completion_pct_MIN","avg_completion_pct_ATL","avg_completion_pct_CAR","avg_completion_pct_NO","avg_completion_pct_NYJ","avg_completion_pct_TB","avg_completion_pct_DAL","avg_completion_pct_NYG","avg_completion_pct_PHI","avg_completion_pct_WAS","avg_interceptions_ARI","avg_interceptions_BAL","avg_interceptions_BUF","avg_interceptions_CIN","avg_interceptions_CLE","avg_interceptions_DEN","avg_interceptions_IND","avg_interceptions_JAX","avg_interceptions_KC","avg_interceptions_LA","avg_interceptions_LAC","avg_interceptions_LV","avg_interceptions_NE","avg_interceptions_PIT","avg_interceptions_SEA","avg_interceptions_SF","avg_interceptions_TEN","avg_interceptions_CHI","avg_interceptions_DET","avg_interceptions_GB","avg_interceptions_HOU","avg_interceptions_MIA","avg_interceptions_MIN","avg_interceptions_ATL","avg_interceptions_CAR","avg_interceptions_NO","avg_interceptions_NYJ","avg_interceptions_TB","avg_interceptions_DAL","avg_interceptions_NYG","avg_interceptions_PHI","avg_interceptions_WAS"
2018,0.0588235294117647,0.0293040293040293,0.027027027027027,0.0254777070063694,0.0193548387096774,0.0209580838323353,0.04,0.0116279069767442,0.0340557275541796,0.0314465408805031,0.0308430431802605,0.00668896321070234,0.0263157894736842,0.0192307692307692,0.0205479452054795,0.0172413793103448,0.0350877192982456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.161902380732341,-0.130895170950147,0.097340750630663,0.19018936174838,0.213604580244539,0.0370567990228942,0.0456087411222869,0.0533250727658196,0.0394517166085557,0.0684678978599745,-0.0265362642462904,0.170693690478121,0.159213913630568,0.232353532123875,0.125330306825305,0.0928032381545617,0.214516024108782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.320261437908497,0.293040293040293,0.310810810810811,0.299363057324841,0.225806451612903,0.281437125748503,0.27,0.255813953488372,0.281733746130031,0.320754716981132,0.272789581905415,0.264214046822742,0.280701754385965,0.314102564102564,0.246575342465753,0.281609195402299,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.010989010989011,0,0.00636942675159236,0.0129032258064516,0.0149700598802395,0,0.0232558139534884,0.0105263157894737,0.0188679245283019,0.00959561343385881,0.00668896321070234,0.0131578947368421,0,0,0.00574712643678161,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,NA,0.0123456790123457,NA,NA,NA,0.0222222222222222,0.0526315789473684,0.00641025641025641,0.0338557993730407,NA,0.0250417362270451,0.0272727272727273,0.010989010989011,0.0133333333333333,NA,0.043956043956044,0.01953125,0.0147058823529412,0.00609756097560976,0.0254777070063694,0.0291666666666667,0.012987012987013,0.0529801324503311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225932190553115,NA,NA,NA,-0.0408674530195093,0.0775288157471346,0.37304955162275,-0.0207982444124585,NA,0.0151326427795699,0.0686072923132034,-0.0372104501087766,-0.123431710299247,NA,0.181756090765726,0.136056034305504,0.0474011893931378,-0.0545083896898758,0.0947945668143878,0.0834143574008913,0.205920268221539,-0.173346230797831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,0.314285714285714,0.309210526315789,0.282051282051282,0.266457680250784,NA,0.273789649415693,0.26969696969697,0.285714285714286,0.346666666666667,NA,0.285714285714286,0.32421875,0.308823529411765,0.274390243902439,0.286624203821656,0.304166666666667,0.324675324675325,0.350993377483444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.0126984126984127,0.00657894736842105,0,0.0112852664576802,NA,0.00918196994991653,0.00909090909090909,0.010989010989011,0.0266666666666667,NA,0.021978021978022,0,0.00735294117647059,0.00609756097560976,0,0.00416666666666667,0,0.0198675496688742,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,NA,0,0.0190114068441065,0.0224719101123595,0.0128205128205128,0.0282131661442006,NA,0.0103092783505155,0.0243589743589744,NA,0.02099533437014,0.0166204986149584,0.0254777070063694,NA,NA,NA,NA,NA,NA,NA,0.0119047619047619,0.03125,NA,0.00602409638554217,0.0240963855421687,0.0341463414634146,0.0166666666666667,0.02734375,NA,NA,NA,NA,NA,0.211047769888793,0.14116416558563,-0.105812930946932,0.103378898410738,0.082834362764768,NA,-0.0252294522259557,0.0577770591058722,NA,0.0122618516714094,0.126329105174156,-0.287748389219895,NA,NA,NA,NA,NA,NA,NA,0.229092329465261,-0.0610029249993444,NA,0.0385930267978174,0.0368424082209623,-0.00623219941595801,0.107373865805048,0.0446318438466527,NA,NA,NA,NA,NA,0.348314606741573,0.307984790874525,0.179775280898876,0.346153846153846,0.288401253918495,NA,0.288659793814433,0.269871794871795,NA,0.264385692068429,0.296398891966759,0.286624203821656,NA,NA,NA,NA,NA,NA,NA,0.285714285714286,0.275,NA,0.36144578313253,0.391566265060241,0.224390243902439,0.4,0.32421875,NA,NA,NA,NA,NA,0,0.00380228136882129,0,0.0128205128205128,0.00626959247648903,NA,0,0.0115384615384615,NA,0.00933125972006221,0.00554016620498615,0.0127388535031847,NA,NA,NA,NA,NA,NA,NA,0,0.025,NA,0.0180722891566265,0.00602409638554217,0,0,0.01171875,NA,NA,NA,NA
2021,NA,0.0148148148148148,0.0204081632653061,0.0333333333333333,0.0235294117647059,0.015527950310559,NA,NA,0.0223325062034739,NA,0.024822695035461,0.0213333333333333,0.0394736842105263,0.0269230769230769,NA,NA,0.0476190476190476,NA,NA,0.0126582278481013,0.0135135135135135,NA,0.0266666666666667,NA,NA,NA,NA,NA,0.0303030303030303,0.0220994475138122,0.00613496932515337,0.0268817204301075,NA,-0.0785998959130002,0.09300676105845,0.0845320687480487,0.235129848690616,0.0710677959667212,NA,NA,0.0247981314552993,NA,0.0301668110920519,0.15730812709609,-0.117006951149222,0.120664325433915,NA,NA,-0.134053634015693,NA,NA,-0.0174480583862466,0.0982769875697968,NA,-0.0723666972410337,NA,NA,NA,NA,NA,-0.0266835679998581,0.0543724825910638,0.309129195760655,0.0568810073908763,NA,0.340740740740741,0.336734693877551,0.325,0.311764705882353,0.285714285714286,NA,NA,0.297766749379653,NA,0.253191489361702,0.306666666666667,0.236842105263158,0.323076923076923,NA,NA,0.369047619047619,NA,NA,0.253164556962025,0.364864864864865,NA,0.266666666666667,NA,NA,NA,NA,NA,0.327272727272727,0.287292817679558,0.343558282208589,0.338709677419355,NA,0.0148148148148148,0.0102040816326531,0.0125,0,0.0093167701863354,NA,NA,0.00992555831265509,NA,0.00780141843971631,0.00266666666666667,0.0263157894736842,0.00769230769230769,NA,NA,0.0119047619047619,NA,NA,0,0.027027027027027,NA,0.0133333333333333,NA,NA,NA,NA,NA,0.0181818181818182,0.00552486187845304,0.00613496932515337,0.0161290322580645
2022,0.024390243902439,NA,0.037037037037037,0.0335570469798658,0.0117647058823529,0.0141643059490085,0.0318471337579618,0.0124223602484472,0.0388114008489994,0,0.0304568527918782,0.0297619047619048,NA,NA,0.0256410256410256,0.0264900662251656,0.0348258706467662,NA,NA,NA,0.0168539325842697,0.0416666666666667,NA,0,NA,NA,NA,0.0319148936170213,NA,NA,0,NA,0.189367093550318,NA,0.0368827778946244,0.10014213027056,0.195804476898066,0.0437178519088727,-0.0687381168580058,0.0192689479239783,0.0183570420475798,0.153364841905159,-0.0170864063402624,0.0341471129641676,NA,NA,-0.0841516772323493,0.138508360227688,-0.0606485033263352,NA,NA,NA,0.0513919427899257,0.0317467268026952,NA,-0.0154829622105991,NA,NA,NA,0.213212907755585,NA,NA,0.183058411917774,NA,0.396341463414634,NA,0.308641975308642,0.302013422818792,0.258823529411765,0.351274787535411,0.280254777070064,0.319875776397516,0.294117647058824,0.314814814814815,0.245105148658448,0.300595238095238,NA,NA,0.314102564102564,0.304635761589404,0.353233830845771,NA,NA,NA,0.353932584269663,0.40625,NA,0.365853658536585,NA,NA,NA,0.24468085106383,NA,NA,0.295774647887324,NA,0,NA,0.0246913580246914,0,0,0.0141643059490085,0.0127388535031847,0.0062111801242236,0.00848999393571862,0.00617283950617284,0.0130529369108049,0,NA,NA,0.00641025641025641,0.0132450331125828,0.0149253731343284,NA,NA,NA,0,0,NA,0.0121951219512195,NA,NA,NA,0.0106382978723404,NA,NA,0,NA
