"season","avg_yards_gained_ARI","avg_yards_gained_BAL","avg_yards_gained_BUF","avg_yards_gained_CIN","avg_yards_gained_CLE","avg_yards_gained_DEN","avg_yards_gained_IND","avg_yards_gained_JAX","avg_yards_gained_KC","avg_yards_gained_LA","avg_yards_gained_LAC","avg_yards_gained_LV","avg_yards_gained_NE","avg_yards_gained_PIT","avg_yards_gained_SEA","avg_yards_gained_SF","avg_yards_gained_TEN","avg_yards_gained_CHI","avg_yards_gained_DET","avg_yards_gained_GB","avg_yards_gained_HOU","avg_yards_gained_MIA","avg_yards_gained_MIN","avg_yards_gained_ATL","avg_yards_gained_CAR","avg_yards_gained_NO","avg_yards_gained_NYJ","avg_yards_gained_TB","avg_yards_gained_DAL","avg_yards_gained_NYG","avg_yards_gained_PHI","avg_yards_gained_WAS","avg_epa_ARI","avg_epa_BAL","avg_epa_BUF","avg_epa_CIN","avg_epa_CLE","avg_epa_DEN","avg_epa_IND","avg_epa_JAX","avg_epa_KC","avg_epa_LA","avg_epa_LAC","avg_epa_LV","avg_epa_NE","avg_epa_PIT","avg_epa_SEA","avg_epa_SF","avg_epa_TEN","avg_epa_CHI","avg_epa_DET","avg_epa_GB","avg_epa_HOU","avg_epa_MIA","avg_epa_MIN","avg_epa_ATL","avg_epa_CAR","avg_epa_NO","avg_epa_NYJ","avg_epa_TB","avg_epa_DAL","avg_epa_NYG","avg_epa_PHI","avg_epa_WAS","avg_completion_pct_ARI","avg_completion_pct_BAL","avg_completion_pct_BUF","avg_completion_pct_CIN","avg_completion_pct_CLE","avg_completion_pct_DEN","avg_completion_pct_IND","avg_completion_pct_JAX","avg_completion_pct_KC","avg_completion_pct_LA","avg_completion_pct_LAC","avg_completion_pct_LV","avg_completion_pct_NE","avg_completion_pct_PIT","avg_completion_pct_SEA","avg_completion_pct_SF","avg_completion_pct_TEN","avg_completion_pct_CHI","avg_completion_pct_DET","avg_completion_pct_GB","avg_completion_pct_HOU","avg_completion_pct_MIA","avg_completion_pct_MIN","avg_completion_pct_ATL","avg_completion_pct_CAR","avg_completion_pct_NO","avg_completion_pct_NYJ","avg_completion_pct_TB","avg_completion_pct_DAL","avg_completion_pct_NYG","avg_completion_pct_PHI","avg_completion_pct_WAS","avg_interceptions_ARI","avg_interceptions_BAL","avg_interceptions_BUF","avg_interceptions_CIN","avg_interceptions_CLE","avg_interceptions_DEN","avg_interceptions_IND","avg_interceptions_JAX","avg_interceptions_KC","avg_interceptions_LA","avg_interceptions_LAC","avg_interceptions_LV","avg_interceptions_NE","avg_interceptions_PIT","avg_interceptions_SEA","avg_interceptions_SF","avg_interceptions_TEN","avg_interceptions_CHI","avg_interceptions_DET","avg_interceptions_GB","avg_interceptions_HOU","avg_interceptions_MIA","avg_interceptions_MIN","avg_interceptions_ATL","avg_interceptions_CAR","avg_interceptions_NO","avg_interceptions_NYJ","avg_interceptions_TB","avg_interceptions_DAL","avg_interceptions_NYG","avg_interceptions_PHI","avg_interceptions_WAS"
2018,3.48305084745763,4.83068783068783,4.31147540983607,4.23809523809524,4.74496644295302,5.58426966292135,4.83636363636364,6.04819277108434,6.48925193465176,6.40522875816993,5.88799283154122,5.25882352941176,6.0515873015873,5.42,5.35064935064935,6.03125,5.49295774647887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.191529079119231,-0.101263078312785,-0.0893123117817171,-0.0813931003216089,-0.118225029158872,-0.0297864193502812,-0.227506242927445,-0.1541601752572,0.224042406279241,0.196415220471322,0.11542725186442,-0.124955961091597,0.199220167999368,0.199562646526777,0.104502309176783,0.114167388842315,0.113369109665026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288135593220339,0.206349206349206,0.278688524590164,0.293650793650794,0.348993288590604,0.355805243445693,0.345454545454545,0.397590361445783,0.368013757523646,0.392156862745098,0.353942652329749,0.396078431372549,0.349206349206349,0.453333333333333,0.285714285714286,0.3359375,0.338028169014085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0254237288135593,0.00529100529100529,0.0327868852459016,0.00793650793650794,0.0201342281879195,0.0112359550561798,0,0.0481927710843374,0.0103181427343078,0.0065359477124183,0.0116487455197133,0.0117647058823529,0.00793650793650794,0.00666666666666667,0.00649350649350649,0.015625,0.0140845070422535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,NA,5.51219512195122,NA,NA,NA,4.25311203319502,5.00704225352113,5.48387096774194,5.99754901960784,NA,5.63444976076555,5.30165289256198,4.21212121212121,4.33898305084746,NA,6.4,6.20231213872832,4.45,5.82962962962963,4.93859649122807,5.78125,4.48076923076923,4.96212121212121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18812045191265,NA,NA,NA,-0.203809156422345,0.142597329144443,-0.00805761948406846,0.170887411594375,NA,0.0368674417063687,-0.0132849483407616,-0.149515567926453,-0.00462180456454106,NA,0.113387204077545,0.144397914782719,-0.126372582092228,-0.0607556429103097,0.132784480985544,0.141195052113177,-0.103356279916447,0.0697419820381268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268292682926829,NA,NA,NA,0.294605809128631,0.274647887323944,0.419354838709677,0.367647058823529,NA,0.377033492822966,0.371900826446281,0.303030303030303,0.254237288135593,NA,0.363636363636364,0.341040462427746,0.292857142857143,0.318518518518519,0.403508771929825,0.383928571428571,0.326923076923077,0.287878787878788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.012448132780083,0.00704225352112676,0.00806451612903226,0.00571895424836601,NA,0.0191387559808612,0.0165289256198347,0.0151515151515152,0.0169491525423729,NA,0.0363636363636364,0.00578034682080925,0.00714285714285714,0.0148148148148148,0,0.00892857142857143,0.0192307692307692,0.00757575757575758,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,NA,4.16363636363636,4.87567567567568,4.40298507462687,4.8125,5.30249110320285,NA,4.73015873015873,6.1667965705378,NA,5.2855910267472,6.45238095238095,4.64285714285714,NA,NA,NA,NA,NA,NA,NA,6.22413793103448,4.75182481751825,NA,5.54032258064516,5.5,5.29007633587786,4.42241379310345,6.3948717948718,NA,NA,NA,NA,NA,-0.102659975194047,0.0333034566845521,-0.235098689553145,0.0577054401713304,-0.0266175380589788,NA,-0.0967867816066118,0.176200214872532,NA,0.0422386611204109,0.229475863794581,-0.0496564651799953,NA,NA,NA,NA,NA,NA,NA,0.152361936759787,0.000363101265306838,NA,0.035831080036979,0.136687123032816,-0.0752676171188837,-0.0817761701495536,0.162064099751831,NA,NA,NA,NA,NA,0.272727272727273,0.32972972972973,0.343283582089552,0.359375,0.316725978647687,NA,0.222222222222222,0.391270459859704,NA,0.356341673856773,0.30952380952381,0.242857142857143,NA,NA,NA,NA,NA,NA,NA,0.344827586206897,0.313868613138686,NA,0.395161290322581,0.440298507462687,0.366412213740458,0.28448275862069,0.4,NA,NA,NA,NA,NA,0,0.0162162162162162,0.0149253731343284,0.015625,0.0249110320284698,NA,0,0.00779423226812159,NA,0.00862812769628991,0.0119047619047619,0.0214285714285714,NA,NA,NA,NA,NA,NA,NA,0.0172413793103448,0.0072992700729927,NA,0.0241935483870968,0,0.0152671755725191,0.00862068965517241,0.0153846153846154,NA,NA,NA,NA
2021,NA,5.75177304964539,7.3135593220339,5.64928909952607,7.57251908396947,5.56,NA,NA,5.90679190751445,NA,5.64661016949153,4.52362204724409,4.67105263157895,4.15942028985507,NA,NA,5.60606060606061,NA,NA,4.77777777777778,6.53731343283582,NA,5.10526315789474,NA,NA,NA,NA,NA,5.4296875,4.8359375,6.04580152671756,4.73451327433628,NA,0.099395060755895,0.364868009931932,0.0386452905075982,0.257879041560737,-0.0417220826392459,NA,NA,0.150183088928657,NA,0.0897899327849538,-0.116252607461383,-0.0424033033499332,-0.0822205828502837,NA,NA,0.197458974028551,NA,NA,-0.0109207180629461,0.311463830309024,NA,0.0746773638628595,NA,NA,NA,NA,NA,-0.0652451003650475,-0.0364287346854984,0.236197508585642,-0.113332501723999,NA,0.26241134751773,0.355932203389831,0.364928909952607,0.33587786259542,0.276,NA,NA,0.388728323699422,NA,0.375423728813559,0.393700787401575,0.236842105263158,0.410628019323671,NA,NA,0.333333333333333,NA,NA,0.301587301587302,0.313432835820896,NA,0.328947368421053,NA,NA,NA,NA,NA,0.3984375,0.3125,0.32824427480916,0.336283185840708,NA,0.0283687943262411,0,0.014218009478673,0.00763358778625954,0.012,NA,NA,0.0115606936416185,NA,0.0127118644067797,0.0118110236220472,0,0.00483091787439614,NA,NA,0.0151515151515152,NA,NA,0.0158730158730159,0,NA,0,NA,NA,NA,NA,NA,0.0234375,0.015625,0,0.00884955752212389
2022,5.04651162790698,NA,6.35211267605634,5.45588235294118,6.61194029850746,5.11698113207547,3.55737704918033,5.41544117647059,6.16009104704097,4.72277227722772,5.19822723609992,5.45849802371542,NA,NA,5.09655172413793,5.66666666666667,4.68181818181818,NA,NA,NA,4.80508474576271,4.29411764705882,NA,5.16393442622951,NA,NA,NA,5.875,NA,NA,5.66216216216216,NA,0.0246140122731651,NA,0.142211424621797,0.121154677276801,0.189579757151113,-0.0142200749984091,-0.32389844520396,0.0801882295064247,0.181333883787115,-0.167763681768961,0.0119706260765436,-0.0399925724708095,NA,NA,-0.0158823153301452,0.0310161310753252,-0.104460099117119,NA,NA,NA,-0.0376642022345201,-0.0533565743017889,NA,-0.015966248406792,NA,NA,NA,0.137204614754129,NA,NA,0.14312323984028,NA,0.325581395348837,NA,0.380281690140845,0.375,0.313432835820896,0.305660377358491,0.360655737704918,0.400735294117647,0.388467374810319,0.247524752475248,0.410958904109589,0.312252964426877,NA,NA,0.310344827586207,0.326530612244898,0.209090909090909,NA,NA,NA,0.338983050847458,0.196078431372549,NA,0.19672131147541,NA,NA,NA,0.609375,NA,NA,0.364864864864865,NA,0.00775193798449612,NA,0,0.0147058823529412,0.0149253731343284,0.0150943396226415,0.0245901639344262,0.0183823529411765,0.00910470409711684,0.0198019801980198,0.008058017727639,0.0197628458498024,NA,NA,0.0137931034482759,0.0136054421768707,0.00909090909090909,NA,NA,NA,0.0169491525423729,0,NA,0,NA,NA,NA,0,NA,NA,0,NA
