batter,player_name,mean_launch_angle,mean_estimated_woba,pitch_count,launch_angle_rank
608841,"Meneses, Joey",13.522673031026253,0.3024977168949772,219,334.0
609280,"Andujar, Miguel",11.26271186440678,0.3082873563218391,261,377.0
621020,"Swanson, Dansby",13.129750982961992,0.39026153846153844,390,341.0
621028,"Newman, Kevin",14.64864864864865,0.30155371900826444,242,303.0
621035,"Taylor, Chris",18.738853503184714,0.3854896551724138,145,141.0
621043,"Correa, Carlos",14.296052631578947,0.39289534883720934,258,313.0
621438,"Taylor, Tyrone",20.31878557874763,0.359271375464684,269,83.0
621439,"Buxton, Byron",17.952380952380953,0.4557921568627451,255,180.0
621466,"Stewart, DJ",22.66829268292683,0.35463636363636364,110,25.0
621493,"Ward, Taylor",19.8425,0.4308009367681499,427,104.0
621566,"Olson, Matt",22.58284023668639,0.4131862068965517,435,28.0
622534,"Margot, Manuel",19.386694386694387,0.3364521072796935,261,121.0
622761,"Mateo, Jorge",21.074074074074073,0.3207777777777778,144,55.0
623912,"Ramírez, Harold",7.173202614379085,0.3122833333333333,180,397.0
623993,"Santander, Anthony",26.174038461538462,0.36789596602972396,471,3.0
624413,"Alonso, Pete",18.78976640711902,0.42592060085836914,466,138.0
624415,"Biggio, Cavan",23.896153846153847,0.2975663716814159,113,12.0
624424,"Conforto, Michael",17.971760797342192,0.42494603174603174,315,179.0
624428,"Frazier, Adam",18.635135135135137,0.31664356435643565,202,151.0
624431,"Trevino, Jose",13.737410071942445,0.28028823529411767,170,326.0
624503,"Gordon, Nick",12.992105263157894,0.3320989583333333,192,343.0
624512,"McGuire, Reese",16.676923076923078,0.33217821782178214,101,237.0
624585,"Soler, Jorge",17.84795321637427,0.4217577464788732,355,186.0
624641,"Sosa, Edmundo",15.610966057441253,0.3726559139784947,186,280.0
628451,"Ibáñez, Andy",22.05757575757576,0.3182857142857143,168,38.0
630105,"Cronenworth, Jake",19.398340248962654,0.3699434782608696,460,119.0
641313,"Anderson, Tim",6.462264150943396,0.30881761006289304,159,398.0
641343,"Bauers, Jake",22.802127659574467,0.42154594594594597,185,23.0
641355,"Bellinger, Cody",17.9012987012987,0.3295664335664336,429,185.0
641432,"Calhoun, Willie",20.745714285714286,0.3086281407035176,199,65.0
641487,"Crawford, J.P.",17.165232358003443,0.3413886925795053,283,223.0
641584,"Fraley, Jake",15.663157894736843,0.3116462093862816,277,277.0
641598,"Garver, Mitch",20.21875,0.34747844827586205,232,87.0
641645,"Guillorme, Luis",15.866412213740459,0.2847086614173228,127,268.0
641658,"Hampson, Garrett",20.026315789473685,0.3120503144654088,159,99.0
641680,"Heim, Jonah",19.13490959666203,0.31099182561307903,367,129.0
641857,"McMahon, Ryan",18.175757575757576,0.41382228116710873,377,173.0
641933,"O'Neill, Tyler",20.825757575757574,0.48154032258064516,248,64.0
642086,"Smith, Dominic",15.93915343915344,0.350510101010101,198,264.0
642133,"Tellez, Rowdy",22.113421550094518,0.3487348993288591,298,36.0
642136,"Thaiss, Matt",17.236559139784948,0.34982,100,217.0
642180,"Wade, Tyler",18.848314606741575,0.30454901960784314,102,135.0
642350,"Siri, Jose",17.932489451476794,0.4551861471861472,231,183.0
642708,"Rosario, Amed",12.002132196162046,0.33376447876447873,259,364.0
642715,"Adames, Willy",22.431893687707642,0.42118018018018016,444,32.0
642731,"Estrada, Thairo",11.157894736842104,0.310434628975265,283,380.0
643217,"Benintendi, Andrew",20.909348441926344,0.34493963254593174,381,60.0
643289,"Dubón, Mauricio",20.67205882352941,0.29129378531073447,354,67.0
643376,"Jansen, Danny",23.630071599045348,0.29562557077625573,219,14.0
643396,"Kiner-Falefa, Isiah",13.604430379746836,0.3164371727748691,382,329.0
643446,"McNeil, Jeff",18.21524064171123,0.2985407608695652,368,168.0
643565,"Tauchman, Mike",20.697674418604652,0.3547061403508772,228,66.0
645277,"Albies, Ozzie",19.963380281690142,0.3303738872403561,337,101.0
645302,"Robles, Victor",12.451612903225806,0.3557093596059113,203,355.0
646240,"Devers, Rafael",19.583116883116883,0.4567777777777778,378,114.0
