batter,player_name,mean_swing_speed,mean_estimated_woba,pitch_count,swing_speed_rank
641645,"Guillorme, Luis",62.721806280487804,0.23795205479452056,328,428.0
641658,"Hampson, Garrett",65.44087375,0.2538,408,392.0
641680,"Heim, Jonah",68.53039644219977,0.2537192118226601,891,278.0
641857,"McMahon, Ryan",70.63583810650887,0.2954626556016598,1183,147.0
641933,"O'Neill, Tyler",73.77757625463535,0.32680298507462685,809,22.0
642086,"Smith, Dominic",67.15172347014925,0.27195867768595045,536,341.0
642133,"Tellez, Rowdy",72.69994494814814,0.2772382352941176,675,51.0
642136,"Thaiss, Matt",70.24664087227414,0.22432592592592593,321,169.0
642180,"Wade, Tyler",61.92095824074074,0.2606017699115044,216,433.0
642350,"Siri, Jose",69.5053959375,0.2943431952662722,832,223.0
642708,"Rosario, Amed",69.90955684552846,0.2647328767123288,615,192.0
642715,"Adames, Willy",72.05828059656973,0.3227686832740213,1341,68.0
642731,"Estrada, Thairo",68.79732708333333,0.2603809523809524,600,263.0
643217,"Benintendi, Andrew",65.70975900552486,0.2917072599531616,905,388.0
643289,"Dubón, Mauricio",67.24238879432623,0.2580159574468085,846,337.0
643376,"Jansen, Danny",66.3789856133829,0.2401764705882353,538,370.0
643396,"Kiner-Falefa, Isiah",64.8741666162311,0.26819753086419756,727,406.0
643446,"McNeil, Jeff",66.42726976112921,0.2590329113924051,921,365.0
643565,"Tauchman, Mike",67.51910902548725,0.28652272727272726,667,327.0
645277,"Albies, Ozzie",67.39763146511628,0.27661797752808986,860,332.0
645302,"Robles, Victor",63.143280712909444,0.2971126126126126,519,423.0
645444,"Herrera, Jose",62.65636298507462,0.22663636363636364,201,429.0
646240,"Devers, Rafael",70.76082052820054,0.3384721603563474,1117,137.0
647304,"Naylor, Josh",70.98801190924658,0.2942992700729927,1168,118.0
647351,"Toro, Abraham",67.78645501650166,0.2696397306397306,606,315.0
650333,"Arraez, Luis",61.4365593632287,0.3051147826086957,1115,435.0
650391,"Jiménez, Eloy",71.96231520979022,0.28694661921708187,572,73.0
650402,"Torres, Gleyber",68.36761783018868,0.2974362292051756,1272,285.0
650489,"Castro, Willi",68.88675854080792,0.2975525773195876,1213,260.0
650490,"Díaz, Yandy",72.09048391523713,0.32305273833671405,991,67.0
650559,"De La Cruz, Bryan",70.12060070588235,0.28896629213483144,1190,178.0
650859,"Rengifo, Luis",67.77383237847222,0.2676705882352941,576,316.0
655316,"Monasterio, Andruw",66.27008462962962,0.257212389380531,270,375.0
656180,"Adams, Riley",73.85695579591837,0.2489903846153846,245,21.0
656305,"Chapman, Matt",74.53057703839121,0.3165820895522388,1094,16.0
656413,"Fairchild, Stuart",66.5180153125,0.24908187134502927,384,362.0
656537,"Hill, Derek",68.48187964968153,0.28985714285714287,314,279.0
656541,"Hilliard, Sam",72.05572486394557,0.25935772357723574,294,69.0
656555,"Hoskins, Rhys",68.95031909890109,0.26090609137055837,910,258.0
656577,"Jackson, Alex",71.78706398753894,0.196968253968254,321,83.0
656582,"Joe, Connor",69.88407875,0.22779099678456594,648,194.0
656716,"McKinstry, Zach",65.3635238341969,0.26379629629629625,579,393.0
656775,"Mullins, Cedric",67.7356900527983,0.2622648514851485,947,317.0
656811,"O'Hearn, Ryan",71.06496436342593,0.33083541147132167,864,114.0
656896,"Rivera, Emmanuel",68.0275898348624,0.2904728033472803,545,303.0
656941,"Schwarber, Kyle",74.94684174545455,0.35072762645914396,1100,8.0
656976,"Smith, Pavin",71.22493914163091,0.36635199999999996,233,107.0
657041,"Thomas, Lane",69.94756350380848,0.3138475750577367,919,187.0
657077,"Verdugo, Alex",66.34305511675127,0.2648178217821782,985,372.0
657136,"Wong, Connor",70.21993699018539,0.27243034825870643,917,172.0
657557,"DeJong, Paul",70.8664342815534,0.2693120567375886,1030,127.0
657656,"Laureano, Ramón",70.63891808652247,0.30446062992125983,601,146.0
657757,"Sheets, Gavin",70.79689692142088,0.2977813267813268,929,135.0
658668,"Olivares, Edward",69.78115114705882,0.2999127516778523,340,203.0
660271,"Ohtani, Shohei",74.67892503714711,0.438402376910017,1346,13.0
660644,"Bruján, Vidal",64.37400533333334,0.22946411483253587,510,413.0
