batter,player_name,mean_exit_velo,mean_estimated_woba,pitch_count,exit_velo_rank
657557,"DeJong, Paul",82.10854037267082,0.4052935153583618,293,235.0
657656,"Laureano, Ramón",82.70888888888888,0.4351088082901554,193,184.0
657757,"Sheets, Gavin",82.10269886363636,0.3578760806916427,347,237.0
658668,"Olivares, Edward",81.42036363636363,0.3606159420289855,138,290.0
660271,"Ohtani, Shohei",86.66641221374046,0.5649938524590163,488,6.0
660644,"Bruján, Vidal",78.65263157894736,0.2777979274611399,193,388.0
660670,"Acuña Jr., Ronald",84.00035587188611,0.413362962962963,135,74.0
660688,"Ruiz, Keibert",81.27176634214186,0.29614778325123153,406,307.0
660707,"Montero, Elehuris",82.85076923076923,0.3070119760479042,167,172.0
660766,"Yepez, Juan",80.28151260504201,0.3280967741935484,186,357.0
660821,"Sánchez, Jesús",84.47738619676946,0.44241618497109825,346,52.0
661388,"Contreras, William",85.84250585480093,0.41283440860215054,465,12.0
662139,"Varsho, Daulton",80.55222734254993,0.31112302839116723,317,345.0
663368,"Perkins, Blake",81.28688524590164,0.32886619718309856,284,305.0
663457,"Nootbaar, Lars",84.5683870967742,0.400452205882353,272,44.0
663527,"Nevin, Tyler",82.748,0.33664088397790054,181,182.0
663538,"Hoerner, Nico",80.85776595744682,0.31347001934235974,517,323.0
663586,"Riley, Austin",85.61158940397351,0.46309836065573773,305,15.0
663616,"Larnach, Trevor",84.63481953290871,0.41602621722846445,267,39.0
663624,"Mountcastle, Ryan",83.18086500655308,0.40946428571428567,364,134.0
663647,"Hayes, Ke'Bryan",83.11377245508982,0.3090912280701754,285,139.0
663656,"Tucker, Kyle",84.07511961722489,0.42246875,224,72.0
663662,"Cameron, Daz",82.12446351931331,0.36115702479338846,121,232.0
663697,"India, Jonathan",81.81465968586387,0.38233414634146345,410,265.0
663698,"Bart, Joey",82.0158357771261,0.4128268156424581,179,245.0
663728,"Raleigh, Cal",84.63985419198056,0.4476432432432432,370,36.0
663743,"Fortes, Nick",79.34192825112108,0.25665055762081784,269,381.0
663757,"Grisham, Trent",84.4771689497717,0.3776048387096774,124,53.0
663837,"Vierling, Matt",82.83901515151516,0.36253268765133173,413,173.0
663853,"Gonzalez, Romy",83.63074433656958,0.40733103448275865,145,96.0
663886,"Stephenson, Tyler",84.21335504885994,0.3749881656804734,338,66.0
663898,"Rodgers, Brendan",82.37696709585121,0.36780494505494504,364,213.0
663993,"Lowe, Nathaniel",82.96596026490067,0.3689366391184573,363,156.0
664023,"Happ, Ian",83.51230585424135,0.42532080200501254,399,108.0
664034,"France, Ty",83.60824324324324,0.3429125683060109,366,100.0
664040,"Lowe, Brandon",82.94243542435424,0.4421,270,161.0
664056,"Bader, Harrison",81.52144112478031,0.3516908517350158,317,282.0
664238,"Moore, Dylan",82.05418994413408,0.3408273092369478,249,243.0
664728,"Isbel, Kyle",81.45298245614035,0.3162904290429043,303,288.0
664761,"Bohm, Alec",84.24902912621359,0.369856846473029,482,60.0
664774,"Wade Jr., LaMonte",84.10316455696203,0.402725,240,71.0
664913,"Brown, Seth",82.86660412757973,0.3844341085271318,258,168.0
664983,"McCarthy, Jake",78.40800582241631,0.3342786885245902,366,391.0
665161,"Peña, Jeremy",81.91565420560748,0.35590184049079754,489,258.0
665487,"Tatis Jr., Fernando",86.2453531598513,0.48897115384615386,312,9.0
665489,"Guerrero Jr., Vladimir",86.03801295896328,0.4443359223300971,515,10.0
665506,"Pache, Cristian",81.37045454545455,0.3400392156862745,102,297.0
665742,"Soto, Juan",87.5235576923077,0.525012474012474,481,2.0
665750,"Taveras, Leody",81.48759342301943,0.34827868852459015,366,284.0
665804,"Amaya, Miguel",81.93565737051792,0.3324440298507463,268,255.0
665828,"Cabrera, Oswaldo",81.16673913043478,0.31968085106382976,235,311.0
665833,"Cruz, Oneil",86.69190839694656,0.46399441340782127,358,5.0
665839,"Valdez, Enmanuel",82.89898305084746,0.38117006802721093,147,166.0
665862,"Chisholm Jr., Jazz",82.79748427672956,0.38750467289719626,428,176.0
665926,"Giménez, Andrés",80.13589484327603,0.3219549019607843,510,362.0
666023,"Fermin, Freddy",81.75553435114504,0.3059818181818182,275,269.0
666134,"Jones, Nolan",81.45714285714286,0.35498159509202454,163,287.0
666135,"Kirilloff, Alex",84.47962962962963,0.38341592920353984,113,50.0
666139,"Lowe, Josh",82.06259124087592,0.4051724137931034,232,242.0
666149,"Fitzgerald, Tyler",81.4062344139651,0.39962439024390245,205,292.0
666150,"Fletcher, Dominic",79.15904761904761,0.2979698795180723,166,384.0
666152,"Hamilton, David",81.71451187335092,0.3472289719626168,214,274.0
666158,"Lux, Gavin",82.48012326656394,0.3729794117647059,340,203.0
666160,"Moniak, Mickey",82.59520426287744,0.36942960288808663,277,195.0
