p_throws,batter,player_name,mean_estimated_woba,pitch_count,pitch_hand_woba_rank
R,572138,"Singleton, Jon",0.33601978571428576,322,206.0
R,572191,"Taylor, Michael A.",0.26157834408602154,186,702.0
R,572233,"Walker, Christian",0.3665214895833333,384,79.0
R,572761,"Carpenter, Matt",0.2921419850746269,134,537.0
R,573262,"Yastrzemski, Mike",0.30969656451612904,372,384.0
R,575929,"Contreras, Willson",0.3674290114942529,261,72.0
R,578428,"Iglesias, Jose",0.2840904155844156,231,587.0
R,592178,"Bryant, Kris",0.3323955925925926,108,237.0
R,592192,"Canha, Mark",0.27361576807228916,332,651.0
R,592200,"Casali, Curt",0.263705,74,694.0
R,592206,"Castellanos, Nick",0.33420147165991904,494,220.0
R,592273,"Drury, Brandon",0.27637760071942447,278,637.0
R,592325,"Gamel, Ben",0.34337292500000005,80,170.0
R,592450,"Judge, Aaron",0.4807631924528302,530,1.0
R,592518,"Machado, Manny",0.33338852475247527,505,227.0
R,592626,"Pederson, Joc",0.3906007826086957,391,30.0
R,592663,"Realmuto, J.T.",0.33325740404040405,297,230.0
R,592669,"Renfroe, Hunter",0.2849156856187291,299,582.0
R,592696,"Rosario, Eddie",0.261351256227758,281,704.0
R,592885,"Yelich, Christian",0.3902701380952381,210,32.0
R,593160,"Merrifield, Whit",0.2973434028436019,211,487.0
R,593428,"Bogaerts, Xander",0.30518501114206126,359,430.0
R,593871,"Polanco, Jorge",0.33290677743902436,328,231.0
R,593934,"Sanó, Miguel",0.28187554166666673,72,595.0
R,594807,"Duvall, Adam",0.22822147572815535,206,786.0
R,595281,"Kiermaier, Kevin",0.23847062085308057,211,772.0
R,595777,"Profar, Jurickson",0.35702697011952195,502,112.0
R,595879,"Báez, Javier",0.2749752863636364,220,648.0
R,595909,"Cave, Jake",0.29879806333333336,300,473.0
R,595978,"Hedges, Austin",0.1503369534883721,86,806.0
R,596019,"Lindor, Francisco",0.38215754448398576,562,44.0
R,596103,"Slater, Austin",0.31938914285714287,70,307.0
R,596115,"Story, Trevor",0.2873830131578947,76,573.0
R,596117,"Stubbs, Garrett",0.24770325781250002,128,751.0
R,596129,"Vogelbach, Daniel",0.36494836486486487,74,86.0
R,596142,"Sánchez, Gary",0.2908572576687117,163,547.0
R,596146,"Kepler, Max",0.30607387261146496,314,421.0
R,600869,"Candelario, Jeimer",0.2766069290322581,310,636.0
R,602104,"Urías, Ramón",0.3312491628959276,221,245.0
R,605113,"Ahmed, Nick",0.2232482748091603,131,788.0
R,605131,"Barnes, Austin",0.23985098214285716,112,770.0
R,605137,"Bell, Josh",0.32133203037974684,395,298.0
R,605141,"Betts, Mookie",0.35192768983957223,374,129.0
R,605170,"Caratini, Victor",0.3226935821596244,213,285.0
R,605204,"Davis, J.D.",0.2909934226804124,97,546.0
R,605361,"Martini, Nick",0.28311899193548384,124,589.0
R,606115,"Arcia, Orlando",0.2613942763157895,456,703.0
R,606192,"Hernández, Teoscar",0.33633571743486973,499,204.0
R,606466,"Marte, Ketel",0.3657177438016529,363,84.0
R,607043,"Nimmo, Brandon",0.3431065150943396,530,171.0
R,607208,"Turner, Trea",0.30526062133333337,375,428.0
R,607680,"Pillar, Kevin",0.2544828989361702,188,732.0
R,607732,"Stallings, Jacob",0.3156362840909091,176,336.0
R,608070,"Ramírez, José",0.31189890856031127,514,370.0
R,608324,"Bregman, Alex",0.3138465221238938,452,353.0
R,608336,"Gallo, Joey",0.307126953125,192,411.0
R,608348,"Kelly, Carson",0.2934396996197719,263,525.0
R,608369,"Seager, Corey",0.41686948360655735,366,16.0
R,608385,"Winker, Jesse",0.3454772336448598,428,158.0
R,608671,"Jankowski, Travis",0.247184103626943,193,753.0
R,608701,"Refsnyder, Rob",0.30489347499999997,160,434.0
R,608841,"Meneses, Joey",0.27774811737089206,213,623.0
R,609280,"Andujar, Miguel",0.2708008682170543,258,667.0
