batter,player_name,mean_estimated_woba,pitch_count,risp_woba_rank
656941,"Schwarber, Kyle",0.37448686842105267,152,43.0
656976,"Smith, Pavin",0.42189048,50,13.0
657041,"Thomas, Lane",0.3051801962025317,158,212.0
657077,"Verdugo, Alex",0.3055698148148148,162,208.0
657136,"Wong, Connor",0.3178537967479675,123,177.0
657557,"DeJong, Paul",0.22932400862068966,116,378.0
657656,"Laureano, Ramón",0.3002275696202532,79,231.0
657757,"Sheets, Gavin",0.33820669298245615,114,118.0
658668,"Olivares, Edward",0.31707166666666664,51,182.0
660271,"Ohtani, Shohei",0.45869641714285714,175,3.0
660644,"Bruján, Vidal",0.21628485507246378,69,388.0
660670,"Acuña Jr., Ronald",0.29772339999999997,50,243.0
660688,"Ruiz, Keibert",0.3150305984848485,132,188.0
660707,"Montero, Elehuris",0.34001551315789474,76,114.0
660766,"Yepez, Juan",0.3172905507246377,69,179.0
660821,"Sánchez, Jesús",0.3481097737226277,137,93.0
661388,"Contreras, William",0.3710497671957672,189,51.0
662139,"Varsho, Daulton",0.2684048956521739,115,332.0
663368,"Perkins, Blake",0.2752490487804878,123,315.0
663457,"Nootbaar, Lars",0.33496351401869157,107,127.0
663527,"Nevin, Tyler",0.2586534117647059,68,350.0
663538,"Hoerner, Nico",0.3113661203007519,133,192.0
663586,"Riley, Austin",0.32053551785714285,112,167.0
663616,"Larnach, Trevor",0.34650109,100,100.0
663624,"Mountcastle, Ryan",0.3224552857142857,119,160.0
663647,"Hayes, Ke'Bryan",0.2758631728395062,81,314.0
663656,"Tucker, Kyle",0.355053987012987,77,76.0
663662,"Cameron, Daz",0.3062722608695652,46,204.0
663697,"India, Jonathan",0.4217508347107438,121,14.0
663698,"Bart, Joey",0.38172375308641976,81,37.0
663728,"Raleigh, Cal",0.42630286144578317,166,10.0
663743,"Fortes, Nick",0.2713087721518987,79,325.0
663757,"Grisham, Trent",0.3790155652173913,46,41.0
663837,"Vierling, Matt",0.301855,122,224.0
663853,"Gonzalez, Romy",0.3544700344827586,58,77.0
663886,"Stephenson, Tyler",0.34091572580645163,124,113.0
663898,"Rodgers, Brendan",0.3158557177419355,124,186.0
663993,"Lowe, Nathaniel",0.3736756453900709,141,47.0
664023,"Happ, Ian",0.351526012195122,164,85.0
664034,"France, Ty",0.2834310438596491,114,294.0
664040,"Lowe, Brandon",0.3830860112359551,89,36.0
664056,"Bader, Harrison",0.2992266363636364,121,236.0
664238,"Moore, Dylan",0.36966443137254906,102,52.0
664728,"Isbel, Kyle",0.30154609433962265,106,225.0
664761,"Bohm, Alec",0.3536830747126437,174,80.0
664774,"Wade Jr., LaMonte",0.38603592000000003,75,33.0
664913,"Brown, Seth",0.29159708247422683,97,268.0
664983,"McCarthy, Jake",0.36508596521739134,115,60.0
665019,"Clemens, Kody",0.2822489047619048,42,297.0
665161,"Peña, Jeremy",0.3488681941176471,170,91.0
665487,"Tatis Jr., Fernando",0.3712985714285714,91,50.0
665489,"Guerrero Jr., Vladimir",0.3977945731707317,164,25.0
665506,"Pache, Cristian",0.25614443396226416,53,357.0
665742,"Soto, Juan",0.5111797419354839,155,1.0
665750,"Taveras, Leody",0.2827426349206349,126,296.0
665804,"Amaya, Miguel",0.29428331623931625,117,258.0
665828,"Cabrera, Oswaldo",0.29067175280898877,89,272.0
665833,"Cruz, Oneil",0.3201938911564626,147,171.0
665839,"Valdez, Enmanuel",0.2680259054054054,74,334.0
665862,"Chisholm Jr., Jazz",0.2909463072289156,166,270.0
665926,"Giménez, Andrés",0.32032698591549297,142,168.0
666023,"Fermin, Freddy",0.29339509302325584,86,262.0
666134,"Jones, Nolan",0.26494872839506173,81,342.0
666135,"Kirilloff, Alex",0.2967575434782609,46,250.0
666139,"Lowe, Josh",0.25763455208333336,96,353.0
666149,"Fitzgerald, Tyler",0.18821561111111113,72,396.0
666150,"Fletcher, Dominic",0.2526241153846154,52,363.0
666152,"Hamilton, David",0.2747286081081081,74,317.0
666158,"Lux, Gavin",0.3439192296296296,135,107.0
666160,"Moniak, Mickey",0.31458783333333334,96,189.0
666163,"Rortvedt, Ben",0.27177168421052633,95,322.0
666176,"Adell, Jo",0.3838697130434783,115,35.0
666181,"Benson, Will",0.2720934285714286,91,320.0
666182,"Bichette, Bo",0.35076997297297297,74,88.0
666185,"Carlson, Dylan",0.2723711764705882,68,319.0
666310,"Naylor, Bo",0.2533018235294118,85,362.0
666397,"Julien, Edouard",0.29630168085106384,47,252.0
666624,"Morel, Christopher",0.3304902380952381,147,138.0
666969,"García, Adolis",0.31799437288135596,177,176.0
666971,"Gurriel Jr., Lourdes",0.34135534,150,112.0
667670,"Rooker, Brent",0.3878371699346405,153,31.0
668227,"Arozarena, Randy",0.2948880778443114,167,255.0
668670,"Rogers, Jake",0.286613380952381,84,285.0
668709,"Bleday, JJ",0.30058207575757573,132,230.0
668715,"Steer, Spencer",0.36080629479768783,173,66.0
668804,"Reynolds, Bryan",0.3897604113475177,141,28.0
668885,"Martin, Austin",0.2598688363636364,55,349.0
668901,"Vientos, Mark",0.2879143484848485,132,280.0
668904,"Lewis, Royce",0.3007444096385542,83,229.0
668930,"Turang, Brice",0.29133921153846154,156,269.0
668939,"Rutschman, Adley",0.32994492253521124,142,140.0
668942,"Rojas, Josh",0.2918672197802198,91,267.0
669003,"Mitchell, Garrett",0.2661026875,64,337.0
669004,"Melendez, MJ",0.27998146078431374,102,303.0
669016,"Marsh, Brandon",0.30392230555555555,144,218.0
669065,"Stowers, Kyle",0.34798723076923077,65,94.0
669127,"Langeliers, Shea",0.3273556797385621,153,142.0
669134,"Campusano, Luis",0.2669571153846154,78,335.0
669221,"Murphy, Sean",0.34577742857142857,63,102.0
669222,"Senzel, Nick",0.3220020185185185,54,162.0
669224,"Wells, Austin",0.33284928925619833,121,131.0
669234,"Malloy, Justyn-Henry",0.2940401568627451,51,260.0
669242,"Edman, Tommy",0.2985984150943396,53,241.0
669257,"Smith, Will",0.35970835714285715,168,70.0
669261,"Suwinski, Jack",0.29806556164383563,73,242.0
669289,"Espinal, Santiago",0.3257611078431372,102,150.0
669304,"Miranda, Jose",0.2971816074766355,107,245.0
669357,"Gorman, Nolan",0.26668661797752813,89,336.0
669364,"Edwards, Xavier",0.24146066666666668,69,373.0
669394,"Burger, Jake",0.32086120149253733,134,166.0
669701,"Smith, Josh",0.33824444594594594,148,117.0
669707,"Triolo, Jared",0.28504283783783785,111,289.0
669720,"Hays, Austin",0.2843818571428572,56,291.0
669911,"Toglia, Michael",0.3353909719626168,107,125.0
670032,"Lopez, Nicky",0.2681400930232558,86,333.0
670042,"Raley, Luke",0.3589847706422018,109,71.0
670242,"Wallner, Matt",0.44561578571428573,56,6.0
670541,"Alvarez, Yordan",0.40122552941176476,136,22.0
670623,"Paredes, Isaac",0.3161037005988024,167,183.0
670764,"Walls, Taylor",0.30655325000000005,72,203.0
