batter,player_name,mean_swing_length,mean_estimated_woba,pitch_count,swing_length_rank
669357,"Gorman, Nolan",7.425685945945946,0.3043481228668942,703,120.0
669364,"Edwards, Xavier",6.110858054545455,0.26629831932773107,550,434.0
669394,"Burger, Jake",7.402592400388727,0.3309871794871795,1029,128.0
669701,"Smith, Josh",6.628171578947368,0.27243006263048014,1064,404.0
669707,"Triolo, Jared",7.717609394329897,0.26882926829268294,776,40.0
669720,"Hays, Austin",7.1136964120370365,0.26471904761904763,432,255.0
669743,"Call, Alex",6.643311553398058,0.27927173913043474,206,401.0
669911,"Toglia, Michael",7.541887910628019,0.34015072463768115,828,81.0
670032,"Lopez, Nicky",6.554797977684798,0.22119653179190754,717,413.0
670042,"Raley, Luke",7.14577162514828,0.29569806094182827,843,242.0
670242,"Wallner, Matt",7.208024117647059,0.3475730337078652,459,209.0
670541,"Alvarez, Yordan",7.504285166994106,0.3994562118126273,1018,97.0
670623,"Paredes, Isaac",7.904448232323233,0.25003512396694216,1188,21.0
670764,"Walls, Taylor",7.04629550660793,0.21187373737373738,454,283.0
670770,"Friedl, TJ",6.615498376865672,0.2464721189591078,536,406.0
671056,"Herrera, Iván",7.342242843601896,0.33573762376237626,422,154.0
671213,"Casas, Triston",7.6648040625,0.32348076923076924,384,53.0
671218,"Ramos, Heliot",6.8040053534303535,0.33551173708920184,962,370.0
671277,"García Jr., Luis",7.209900829646018,0.33042889908256884,904,208.0
671289,"Freeman, Tyler",6.992194480408859,0.2603263157894737,587,310.0
671732,"Butler, Lawrence",6.994056537500001,0.35259154929577463,800,309.0
671739,"Harris II, Michael",7.999091373690338,0.32878446115288223,859,16.0
672275,"Bailey, Patrick",7.204751257783312,0.3029461756373938,803,211.0
672279,"Siani, Michael",6.931709596638656,0.22084496124031008,595,331.0
672284,"Kelenic, Jarred",7.217506007416563,0.30042857142857143,809,205.0
672356,"Arias, Gabriel",7.504409661538462,0.2485746268656716,325,96.0
672386,"Kirk, Alejandro",6.919524192,0.2854557823129252,625,333.0
672515,"Moreno, Gabriel",6.971006368515205,0.2849566929133858,559,317.0
672580,"Garcia, Maikel",7.019643947368421,0.2866384615384615,988,299.0
672640,"Lopez, Otto",6.45755222946545,0.29525526315789474,767,422.0
672695,"Perdomo, Geraldo",6.531579965217391,0.24560431654676262,575,417.0
672761,"Pérez, Wenceel",6.776650613496933,0.27210439560439564,815,375.0
672820,"Sosa, Lenyn",7.246010196078432,0.31894561933534743,714,190.0
673237,"Diaz, Yainer",7.360563242784381,0.324220802919708,1178,145.0
673357,"Robert Jr., Luis",7.72627446406053,0.26979883381924197,793,37.0
673490,"Kim, Ha-Seong",6.66061950075643,0.2790153374233129,661,400.0
673548,"Suzuki, Seiya",7.115496546610169,0.3331519274376417,944,253.0
673962,"Jung, Josh",7.15509231511254,0.29464625850340137,311,237.0
676059,"Westburg, Jordan",6.746353142857143,0.3350677966101695,770,384.0
676356,"DeLuca, Jonny",7.515221931818181,0.2592406779661017,704,89.0
676369,"Velázquez, Nelson",7.45088049222798,0.28517714285714285,386,114.0
676391,"Clement, Ernie",6.6941623285899094,0.27078,773,394.0
676475,"Burleson, Alec",7.381594345076784,0.30986138613861386,1107,139.0
676609,"Caballero, José",6.837341874258601,0.24576139410187667,843,361.0
676694,"Meyers, Jake",6.851032602230483,0.25901101928374654,807,356.0
676801,"McCormick, Chas",7.3260400413223135,0.2741442307692308,484,157.0
676914,"Schneider, Davis",6.866894498680739,0.24816257668711655,758,350.0
677008,"Kjerstad, Heston",6.976328634361233,0.2616626506024096,227,315.0
677587,"Rocchio, Brayan",7.012010206060606,0.23898644986449866,825,306.0
677588,"Tena, José",6.7280891591591585,0.30256944444444445,333,389.0
677594,"Rodríguez, Julio",7.804896851698426,0.3346367265469062,1207,28.0
677649,"Duran, Ezequiel",7.066159830508474,0.2476,531,274.0
677800,"Abreu, Wilyer",7.313330836320191,0.28959299191374666,837,164.0
677870,"Jiménez, Leo",7.205336805194805,0.2707317073170732,385,210.0
677942,"Alexander, Blaze",7.218352705167174,0.22756934306569343,329,204.0
677951,"Witt Jr., Bobby",7.027639018987341,0.38172390572390574,1264,294.0
