"team","conference.x","overall_eff","overall_rnk","offense_eff","offense_rnk","defense_eff","defense_rnk","special_teams_eff","special_teams_rnk","OVERALL_RNK_NORM","OFFENSE_RNK_NORM","DEFENSE_RNK_NORM","SPECIAL_TEAMS_RNK_NORM","conference.y","w_l","fpi.x","rk","trend","proj_w_l","win_out_percent","x6wins_percent","win_div_percent","win_conf_percent","playoff_percent","make_nc_percent","win_nc_percent","conf","sor","fpi.y","ap_cfp","sos","rem_sos","gc","avgwp","RK_NORM","COMPOSITE_SCORE"
"NC State Wolfpack","ACC","27.4",111,"19.3",120,"40.4",96,"65.1",31,1.12036774346507,1.35216796625095,0.734034038821943,-0.940078681298278,"ACC","3-2","-2.9","80","--","6.0-6.0","0.2","62.7","0.0","0.1","0.1","0.0","0.0","ACC",56,"80","--","12","76","92","96",-0.295902011652806,0.566622766809921
"UAB Blazers","American","27.3",112,"35.6",94,"27.6",117,"49.1",74,1.14612332377461,0.682522878202859,1.27490122532232,0.167411272012022,"American","1-3","-11.4","110","8","3.8-8.2","0.0","11.0","0.0","0.0","0.0","0.0","0.0","American",122,"110","--","96","87","116","110",1.40563075236372,0.817739674827954
"App State Mountaineers","Sun Belt","27.2",113,"40.1",88,"22.6",126,"48.9",76,1.17187890408415,0.527989396345608,1.5067014481082,0.218922432631106,"Sun Belt","2-2","-7.9","98","1","4.7-6.3","0.1","27.1","1.5","0.5","0.0","0.0","0.0","Sun Belt",81,"98","--","60","94","109","117",0.34861797471709,0.856373045292267
"Tulsa Golden Hurricane","American","27.2",114,"23.8",112,"40.0",97,"47.3",81,1.1976344843937,1.14612332377461,0.759789619131485,0.347700334178815,"American","2-3","-14.1","121","12","4.7-7.4","0.1","26.8","0.0","0.1","0.0","0.0","0.0","American",109,"121","--","112","121","123","106",1.07048035945137,0.862811940369652
"Purdue Boilermakers","Big Ten","26.1",115,"18.5",123,"31.4",109,"80.5",1,1.22339006470324,1.42943470717957,1.06885658284599,-1.71274609058453,"Big Ten","1-3","-8.4","99","5","2.3-9.7","0.0","0.2","0.0","0.0","0.0","0.0","0.0","Big Ten",106,"99","--","47","12","95","109",0.993137961086987,0.502233816036066
"Akron Zips","MAC","25.8",116,"25.1",111,"36.5",101,"43.0",94,1.24914564501278,1.12036774346507,0.862811940369652,0.682522878202859,"MAC","1-4","-18.4","128","5","3.2-8.8","0.0","3.4","0.0","0.1","0.0","0.0","0.0","MAC",113,"128","--","5","120","115","127",1.17360355727056,0.978712051762591
"San Diego State Aztecs","Mountain West","25.4",117,"13.4",128,"46.6",85,"59.0",46,1.27490122532232,1.55821260872728,0.450722655416983,-0.55374497665515,"Mountain West","1-3","-12.5","113","5","4.0-8.0","0.0","14.0","0.0","0.3","0.0","0.0","0.0","Mountain West",127,"113","--","110","74","113","102",1.5345347496377,0.682522878202859
"Central Michigan Chippewas","MAC","24.3",118,"38.9",91,"19.7",128,"50.1",72,1.30065680563186,0.605256137274234,1.55821260872728,0.115900111392938,"MAC","3-2","-12.7","115","1","5.4-6.6","0.0","46.2","0.0","1.6","0.0","0.0","0.0","MAC",93,"115","--","113","108","125","105",0.657987568174641,0.89500641575658
"Georgia State Panthers","Sun Belt","24.0",119,"28.8",105,"29.3",113,"45.8",86,1.32641238594141,0.96583426160782,1.17187890408415,0.476478235726524,"Sun Belt","2-2","-10.6","108","7","4.5-7.5","0.0","23.3","0.5","0.1","0.0","0.0","0.0","Sun Belt",90,"108","--","109","81","108","99",0.580645169810253,0.985150946839976
"Arkansas State Red Wolves","Sun Belt","23.4",120,"28.8",104,"30.6",111,"37.8",104,1.35216796625095,0.940078681298278,1.12036774346507,0.940078681298278,"Sun Belt","2-2","-10.5","106","1","5.4-6.6","0.0","47.0","4.5","1.0","0.0","0.0","0.0","Sun Belt",78,"106","--","48","107","96","113",0.271275576352703,1.08817326807814
