"team","conference.x","overall_eff","overall_rnk","offense_eff","offense_rnk","defense_eff","defense_rnk","special_teams_eff","special_teams_rnk","OVERALL_RNK_NORM","OFFENSE_RNK_NORM","DEFENSE_RNK_NORM","SPECIAL_TEAMS_RNK_NORM","conference.y","w_l","fpi.x","rk","trend","proj_w_l","win_out_percent","x6wins_percent","win_div_percent","win_conf_percent","playoff_percent","make_nc_percent","win_nc_percent","conf","sor","fpi.y","ap_cfp","sos","rem_sos","gc","avgwp","RK_NORM","COMPOSITE_SCORE"
"Cincinnati Bearcats","Big 12","69.0",34,"82.7",12,"43.9",91,"48.2",77,-0.862811940369652,-1.42943470717957,0.605256137274234,0.244678012940648,"Big 12","3-2","4.4","53","6","6.0-6.1","0.2","61.2","0.0","1.5","0.7","0.0","0.0","Big 12",77,"53","--","86","43","23","22",0.245494776897907,-0.360578124333586
"Utah Utes","Big 12","68.9",35,"46.1",81,"82.2",11,"56.2",53,-0.837056360060111,0.347700334178815,-1.45519028748912,-0.373455914488357,"Big 12","4-1","7.1","36","14","7.8-4.3","0.9","94.2","0.0","4.9","5.1","0.2","0.0","Big 12",35,"36","18","71","60","35","32",-0.837298800203519,-0.579500556964692
"Tulane Green Wave","American","68.2",36,"67.3",36,"60.0",58,"57.2",49,-0.811300779750569,-0.811300779750569,-0.244678012940648,-0.476478235726524,"American","3-2","6.5","40","15","9.3-3.4","20.0","99.6","0.0","52.0","6.4","0.1","0.0","American",62,"40","--","45","106","34","43",-0.141217214924031,-0.585939452042077
"Vanderbilt Commodores","SEC","68.0",37,"71.1",25,"52.5",70,"67.2",24,-0.785545199441027,-1.09461216315553,0.0643889507738547,-1.12036774346507,"SEC","2-2","3.3","57","3","4.4-7.6","0.0","16.4","0.0","0.0","0.0","0.0","0.0","SEC",82,"57","--","61","3","53","62",0.374398774171886,-0.734034038821943
"South Carolina Gamecocks","SEC","68.0",38,"37.9",92,"84.4",7,"59.6",43,-0.759789619131485,0.631011717583776,-1.55821260872728,-0.631011717583776,"SEC","3-1","9.1","25","4","6.5-5.5","0.0","75.7","0.0","0.0","3.8","0.1","0.0","SEC",30,"25","--","64","7","9","17",-0.966202797477498,-0.579500556964692
"Colorado Buffaloes","Big 12","67.9",39,"67.4",35,"65.9",42,"37.0",105,-0.734034038821943,-0.837056360060111,-0.656767297893317,0.96583426160782,"Big 12","4-1","8.3","28","24","8.1-4.2","1.5","95.1","0.0","15.5","13.1","0.7","0.2","Big 12",24,"28","--","42","61","65","89",-1.12088759420627,-0.315505858791888
"Michigan Wolverines","Big Ten","67.4",40,"41.6",85,"75.8",22,"70.0",20,-0.708278458512401,0.450722655416983,-1.17187890408415,-1.22339006470324,"Big Ten","4-1","9.0","26","6","7.4-4.6","0.1","94.3","0.0","1.5","8.9","0.3","0.1","Big Ten",12,"26","10","15","18","17","26",-1.43025718766382,-0.663206192970703
"Virginia Tech Hokies","ACC","67.2",41,"57.6",59,"67.2",37,"60.2",41,-0.682522878202859,-0.218922432631106,-0.785545199441027,-0.682522878202859,"ACC","2-3","6.1","42","7","6.0-6.0","1.3","64.2","0.0","1.4","0.7","0.0","0.0","ACC",83,"42","--","22","67","61","92",0.400179573626682,-0.592378347119463
"Washington Huskies","Big Ten","66.6",42,"66.5",39,"66.4",39,"32.3",121,-0.656767297893317,-0.734034038821943,-0.734034038821943,1.37792354656049,"Big Ten","3-2","7.7","33","3","5.7-6.3","0.0","55.9","0.0","0.1","0.3","0.0","0.0","Big Ten",80,"33","--","81","17","59","45",0.322837175262294,-0.186727957244179
"Oklahoma Sooners","SEC","66.5",43,"30.3",102,"82.1",12,"75.2",9,-0.631011717583776,0.888567520679194,-1.42943470717957,-1.5067014481082,"SEC","4-1","12.2","17","--","7.0-5.0","0.1","91.0","0.0","0.1","9.5","0.4","0.1","SEC",16,"17","19","24","2","36","47",-1.32713398984464,-0.669645088048088
"James Madison Dukes","Sun Belt","66.4",44,"53.6",64,"63.7",47,"77.6",5,-0.605256137274234,-0.0901445310833965,-0.527989396345608,-1.60972376934637,"Sun Belt","4-0","6.2","41","18","10.9-1.7","15.8","99.9","60.6","44.1","29.8","0.9","0.2","Sun Belt",27,"41","--","128","103","38","16",-1.04354519584189,-0.708278458512401
"Georgia Tech Yellow Jackets","ACC","66.1",45,"76.9",17,"50.4",74,"38.2",102,-0.579500556964692,-1.30065680563186,0.167411272012022,0.888567520679194,"ACC","3-2","4.8","49","8","5.9-6.1","0.1","62.4","0.0","0.4","0.4","0.0","0.0","ACC",69,"49","--","37","20","69","76",0.0392483812595401,-0.206044642476335
"Boston College Eagles","ACC","65.7",46,"63.5",42,"66.4",38,"35.4",112,-0.55374497665515,-0.656767297893317,-0.759789619131485,1.14612332377461,"ACC","4-1","5.2","47","16","7.4-4.6","0.2","92.1","0.0","1.7","2.7","0.0","0.0","ACC",29,"47","--","49","50","70","68",-0.991983596932294,-0.206044642476335
"Rutgers Scarlet Knights","Big Ten","65.6",47,"65.5",41,"54.9",67,"63.7",34,-0.527989396345608,-0.682522878202859,-0.0128777901547709,-0.862811940369652,"Big Ten","4-0","5.4","45","1","8.2-3.9","0.2","96.6","0.0","0.9","7.8","0.2","0.0","Big Ten",11,"45","--","104","40","10","9",-1.45603798711862,-0.521550501268223
"UConn Huskies","FBS Indep.","65.6",48,"71.0",26,"58.6",60,"36.4",108,-0.502233816036066,-1.06885658284599,-0.193166852321564,1.04310100253645,"FBS Indep.","3-2","0.2","67","16","8.5-3.5","19.1","99.1","0.0","0.0","0.0","0.0","0.0","FBS Indep.",84,"67","--","80","126","67","55",0.425960373081478,-0.180289062166793
"Washington State Cougars","Pac-12","65.5",49,"72.5",22,"54.4",69,"42.4",97,-0.476478235726524,-1.17187890408415,0.0386333704643128,0.759789619131485,"Pac-12","4-1","3.9","55","13","9.6-2.4","19.3","100.0","0.0","0.0","12.4","0.1","0.0","Pac-12",25,"55","--","56","112","43","51",-1.09510679475148,-0.21248353755372
"Arizona Wildcats","Big 12","64.8",50,"61.2",52,"63.9",46,"47.4",80,-0.450722655416983,-0.399211494797899,-0.55374497665515,0.321944753869273,"Big 12","3-1","5.5","44","18","7.2-5.0","0.4","85.2","0.0","6.3","4.6","0.2","0.0","Big 12",32,"44","--","62","55","48","64",-0.914641198567906,-0.27043359325019
"Pittsburgh Panthers","ACC","64.4",51,"69.0",29,"48.9",78,"65.3",30,-0.424967075107441,-0.991589841917362,0.27043359325019,-0.96583426160782,"ACC","4-0","6.7","39","6","8.1-4.0","0.2","96.2","0.0","1.8","8.7","0.1","0.0","ACC",13,"39","--","106","38","66","42",-1.40447638820903,-0.527989396345608
"Louisiana Ragin' Cajuns","Sun Belt","64.2",52,"84.6",10,"27.9",116,"67.1",25,-0.399211494797899,-1.48094586779866,1.24914564501278,-1.09461216315553,"Sun Belt","3-1","-2.5","77","4","8.1-4.2","1.5","94.4","23.5","9.1","1.6","0.0","0.0","Sun Belt",61,"77","--","119","102","68","37",-0.166998014378827,-0.431405970184826
"Oklahoma State Cowboys","Big 12","63.6",53,"61.5",50,"57.8",62,"58.6",48,-0.373455914488357,-0.450722655416983,-0.14165569170248,-0.502233816036066,"Big 12","3-2","7.8","32","11","7.0-5.1","1.8","84.8","0.0","1.7","1.5","0.1","0.0","Big 12",58,"32","--","55","62","79","85",-0.244340412743214,-0.367017019410972
"Virginia Cavaliers","ACC","62.9",54,"54.3",62,"65.8",43,"52.6",65,-0.347700334178815,-0.14165569170248,-0.631011717583776,-0.0643889507738547,"ACC","3-1","0.4","66","1","5.2-6.8","0.0","39.4","0.0","0.3","0.1","0.0","0.0","ACC",50,"66","--","105","24","54","49",-0.450586808381581,-0.296189173559731
"California Golden Bears","ACC","62.4",55,"43.6",84,"75.3",24,"50.4",71,-0.321944753869273,0.424967075107441,-1.12036774346507,0.0901445310833965,"ACC","3-1","4.4","50","5","7.4-4.7","0.2","90.3","0.0","0.6","1.5","0.1","0.0","ACC",39,"50","--","79","58","40","48",-0.734175602384335,-0.231800222785877
"UCF Knights","Big 12","61.8",56,"71.1",24,"46.5",86,"43.5",93,-0.296189173559731,-1.12036774346507,0.476478235726524,0.656767297893317,"Big 12","3-1","7.9","31","15","7.5-4.7","0.7","88.5","0.0","5.9","5.1","0.2","0.0","Big 12",45,"31","--","87","51","76","72",-0.57949080565556,-0.0708278458512401
"Michigan State Spartans","Big Ten","61.5",57,"48.7",72,"66.3",40,"60.8",39,-0.27043359325019,0.115900111392938,-0.708278458512401,-0.734034038821943,"Big Ten","3-2","0.5","65","5","5.4-6.6","0.0","45.3","0.0","0.0","0.1","0.0","0.0","Big Ten",44,"65","--","14","36","47","74",-0.605271605110356,-0.399211494797899
"Toledo Rockets","MAC","61.2",58,"54.8",61,"57.6",63,"66.6",27,-0.244678012940648,-0.167411272012022,-0.115900111392938,-1.04310100253645,"MAC","3-1","-1.7","74","2","9.0-3.5","5.5","98.1","0.0","31.4","2.5","0.0","0.0","MAC",68,"74","--","124","114","21","12",0.0134675818047442,-0.392772599720513
"Baylor Bears","Big 12","59.9",59,"41.0",86,"63.1",48,"78.7",4,-0.218922432631106,0.476478235726524,-0.502233816036066,-1.63547934965591,"Big 12","2-3","2.6","58","2","5.1-6.9","0.3","37.5","0.0","0.2","0.1","0.0","0.0","Big 12",94,"58","--","54","65","80","88",0.683768367629436,-0.470039340649139
"Duke Blue Devils","ACC","59.5",60,"32.2",98,"78.9",17,"53.2",62,-0.193166852321564,0.785545199441027,-1.30065680563186,-0.14165569170248,"ACC","5-0","1.9","59","6","8.0-4.0","0.0","97.5","0.0","0.7","3.2","0.1","0.0","ACC",18,"59","--","117","46","89","52",-1.27557239093505,-0.21248353755372
"Northern Illinois Huskies","MAC","57.9",61,"47.2",75,"73.5",27,"33.7",117,-0.167411272012022,0.193166852321564,-1.04310100253645,1.27490122532232,"MAC","2-2","-4.1","85","3","7.6-4.6","3.5","92.5","0.0","10.2","0.4","0.0","0.0","MAC",88,"85","--","36","115","56","65",0.529083570900661,0.0643889507738547
"Memphis Tigers","American","57.7",62,"61.9",49,"48.5",79,"48.0",78,-0.14165569170248,-0.476478235726524,0.296189173559731,0.27043359325019,"American","4-1","0.6","64","--","9.0-3.2","4.0","99.7","0.0","6.0","3.2","0.0","0.0","American",53,"64","--","111","97","41","25",-0.373244410017194,-0.0128777901547709
"Bowling Green Falcons","MAC","56.6",63,"67.2",37,"43.8",93,"47.0",84,-0.115900111392938,-0.785545199441027,0.656767297893317,0.424967075107441,"MAC","1-3","-4.0","83","10","6.9-5.5","4.0","81.1","0.0","21.5","0.0","0.0","0.0","MAC",111,"83","--","21","116","49","83",1.12204195836097,0.0450722655416983
"San José State Spartans","Mountain West","56.2",64,"53.3",65,"59.0",59,"41.1",98,-0.0901445310833965,-0.0643889507738547,-0.218922432631106,0.785545199441027,"Mountain West","3-1","-1.5","73","2","7.2-5.0","0.2","87.5","0.0","5.1","0.9","0.0","0.0","Mountain West",71,"73","--","116","77","73","50",0.0908099801691318,0.103022321238167
"West Virginia Mountaineers","Big 12","56.1",65,"75.0",19,"33.3",108,"47.1",83,-0.0643889507738547,-1.24914564501278,1.04310100253645,0.399211494797899,"Big 12","2-2","4.4","51","8","5.4-6.7","0.1","46.2","0.0","2.9","1.2","0.0","0.0","Big 12",63,"51","--","39","44","63","81",-0.115436415469235,0.0321944753869273
"Sam Houston Bearkats","CUSA","55.7",66,"49.6",69,"60.3",57,"47.7",79,-0.0386333704643128,0.0386333704643128,-0.27043359325019,0.296189173559731,"CUSA","4-1","-5.9","91","2","8.9-3.6","4.6","98.7","0.0","24.6","2.6","0.0","0.0","CUSA",46,"91","--","88","131","88","67",-0.553710006200764,0.00643889507738546
"Coastal Carolina Chanticleers","Sun Belt","55.7",67,"54.0",63,"62.2",52,"30.8",123,-0.0128777901547709,-0.115900111392938,-0.399211494797899,1.42943470717957,"Sun Belt","3-1","-4.0","84","1","7.3-4.8","0.5","87.5","7.6","3.3","0.5","0.0","0.0","Sun Belt",73,"84","--","130","88","72","34",0.142371579078723,0.225361327708491
"Western Kentucky Hilltoppers","CUSA","55.4",68,"47.0",77,"61.4",55,"52.0",68,0.0128777901547709,0.244678012940648,-0.321944753869273,0.0128777901547709,"CUSA","3-2","-5.4","89","8","8.2-4.3","5.5","97.2","0.0","28.5","1.4","0.0","0.0","CUSA",59,"89","--","7","128","52","71",-0.218559613288418,-0.0128777901547709
"North Texas Mean Green","American","55.1",69,"58.7",56,"47.2",83,"56.8",52,0.0386333704643128,-0.296189173559731,0.399211494797899,-0.399211494797899,"American","4-1","-4.4","87","8","7.7-4.4","0.7","94.2","0.0","3.1","0.7","0.0","0.0","American",49,"87","--","101","95","75","54",-0.476367607836377,-0.0643889507738546
"Kansas Jayhawks","Big 12","54.6",70,"47.3",74,"62.1",54,"44.3",90,0.0643889507738547,0.167411272012022,-0.347700334178815,0.579500556964692,"Big 12","1-4","5.0","48","13","4.3-7.7","0.4","18.9","0.0","0.5","0.0","0.0","0.0","Big 12",116,"48","--","59","56","51","60",1.25094595563495,0.115900111392938
"Georgia Southern Eagles","Sun Belt","54.4",71,"62.3",46,"36.1",102,"74.5",12,0.0901445310833965,-0.55374497665515,0.888567520679194,-1.42943470717957,"Sun Belt","3-2","-3.5","82","9","6.7-5.5","0.8","78.2","13.0","6.1","0.6","0.0","0.0","Sun Belt",57,"82","--","18","91","85","94",-0.27012121219801,-0.251116908018033
"South Florida Bulls","American","54.4",72,"52.8",66,"47.0",84,"70.1",19,0.115900111392938,-0.0386333704643128,0.424967075107441,-1.24914564501278,"American","2-3","-6.0","92","13","6.2-5.8","2.0","70.6","0.0","0.9","0.1","0.0","0.0","American",86,"92","--","3","117","81","101",0.47752197199107,-0.186727957244178
"Auburn Tigers","SEC","54.0",73,"46.1",82,"57.3",64,"57.1",50,0.14165569170248,0.373455914488357,-0.0901445310833965,-0.450722655416983,"SEC","2-3","6.7","38","4","4.8-7.2","0.0","27.2","0.0","0.0","0.0","0.0","0.0","SEC",99,"38","--","77","6","84","56",0.812672364903416,-0.00643889507738546
"Fresno State Bulldogs","Mountain West","53.0",74,"39.6",89,"74.5",25,"22.6",132,0.167411272012022,0.55374497665515,-1.09461216315553,1.66123492996545,"Mountain West","3-2","-2.1","75","17","7.5-4.7","2.1","92.5","0.0","4.2","0.5","0.0","0.0","Mountain West",75,"75","--","57","101","62","66",0.193933177988315,0.321944753869273
"Minnesota Golden Gophers","Big Ten","52.0",75,"40.3",87,"73.9",26,"22.9",131,0.193166852321564,0.502233816036066,-1.06885658284599,1.63547934965591,"Big Ten","2-3","3.6","56","1","4.9-7.1","0.2","31.6","0.0","0.0","0.0","0.0","0.0","Big Ten",96,"56","--","67","47","82","69",0.735329966539028,0.315505858791888
"Florida Gators","SEC","50.7",76,"66.0",40,"34.6",106,"67.9",22,0.218922432631106,-0.708278458512401,0.991589841917362,-1.17187890408415,"SEC","2-2","5.4","46","7","4.2-7.8","0.0","14.4","0.0","0.0","0.1","0.0","0.0","SEC",64,"46","--","44","1","71","90",-0.0896556160144392,-0.167411272012022
"Texas Tech Red Raiders","Big 12","49.9",77,"60.1",54,"31.2",110,"74.9",10,0.244678012940648,-0.347700334178815,1.09461216315553,-1.48094586779866,"Big 12","4-1","4.4","52","4","7.1-5.1","0.2","85.9","0.0","5.3","3.6","0.1","0.0","Big 12",38,"52","--","84","49","50","33",-0.759956401839131,-0.122339006470324
"Stanford Cardinal","ACC","49.5",78,"27.4",107,"66.2",41,"75.9",7,0.27043359325019,1.0173454222269,-0.682522878202859,-1.55821260872728,"ACC","2-2","-1.0","72","2","4.8-7.2","0.0","28.9","0.0","0.0","0.1","0.0","0.0","ACC",67,"72","--","32","34","60","91",-0.0123132176500516,-0.238239117863262
"Oregon State Beavers","Pac-12","49.1",79,"58.3",57,"44.9",88,"26.9",127,0.296189173559731,-0.27043359325019,0.527989396345608,1.53245702841774,"Pac-12","3-1","1.2","60","3","7.4-4.6","0.6","90.6","0.0","0.0","0.7","0.0","0.0","Pac-12",55,"60","--","73","70","55","38",-0.321682811107602,0.521550501268223
"Syracuse Orange","ACC","48.2",80,"63.4",43,"41.8",95,"24.1",130,0.321944753869273,-0.631011717583776,0.708278458512401,1.60972376934637,"ACC","3-1","-0.2","69","1","5.5-6.5","0.0","48.1","0.0","0.1","0.1","0.0","0.0","ACC",70,"69","--","125","41","57","24",0.065029180714336,0.502233816036066
"South Alabama Jaguars","Sun Belt","47.8",81,"67.5",33,"33.7",107,"36.4",109,0.347700334178815,-0.888567520679194,1.0173454222269,1.06885658284599,"Sun Belt","2-3","-0.1","68","7","7.2-5.3","5.2","87.6","46.3","19.6","0.0","0.0","0.0","Sun Belt",101,"68","--","66","109","98","95",0.864233963813007,0.386333704643128
"East Carolina Pirates","American","47.5",82,"25.2",110,"62.6",50,"73.9",14,0.373455914488357,1.09461216315553,-0.450722655416983,-1.37792354656049,"American","3-2","-6.5","95","1","7.0-5.1","0.7","85.7","0.0","3.1","0.0","0.0","0.0","American",92,"95","--","126","110","90","39",0.632206768719845,-0.0901445310833965
"Texas State Bobcats","Sun Belt","46.5",83,"60.5",53,"37.4",99,"38.8",101,0.399211494797899,-0.373455914488357,0.811300779750569,0.862811940369652,"Sun Belt","2-2","-3.2","81","4","7.0-5.2","1.2","83.8","19.9","7.2","0.1","0.0","0.0","Sun Belt",97,"81","--","127","104","30","11",0.761110765993824,0.424967075107441
"North Carolina Tar Heels","ACC","46.3",84,"51.3",67,"39.6",98,"57.0",51,0.424967075107441,-0.0128777901547709,0.785545199441027,-0.424967075107441,"ACC","3-2","0.7","61","8","6.5-5.6","0.5","74.7","0.0","0.3","0.2","0.0","0.0","ACC",74,"61","--","78","73","74","61",0.168152378533519,0.193166852321564
"Wisconsin Badgers","Big Ten","45.5",85,"39.5",90,"51.0",72,"59.1",45,0.450722655416983,0.579500556964692,0.115900111392938,-0.579500556964692,"Big Ten","2-2","0.7","62","4","4.9-7.1","0.0","32.3","0.0","0.0","0.1","0.0","0.0","Big Ten",66,"62","--","9","37","33","75",-0.0380940171048475,0.14165569170248
"Marshall Thundering Herd","Sun Belt","45.4",86,"47.9",73,"51.1",71,"31.9",122,0.476478235726524,0.14165569170248,0.0901445310833965,1.40367912687003,"Sun Belt","2-2","-2.6","79","1","6.8-5.3","0.9","81.3","12.3","5.8","0.7","0.0","0.0","Sun Belt",76,"79","--","10","90","64","93",0.219713977443111,0.527989396345608
"Eastern Michigan Eagles","MAC","44.5",87,"37.0",93,"47.8",81,"72.5",15,0.502233816036066,0.656767297893317,0.347700334178815,-1.35216796625095,"MAC","4-1","-8.7","101","5","8.1-4.2","0.9","96.1","0.0","10.6","0.6","0.0","0.0","MAC",60,"101","--","97","127","78","44",-0.192778813833623,0.0386333704643128
"Buffalo Bulls","MAC","44.2",88,"12.0",131,"69.9",34,"67.0",26,0.527989396345608,1.63547934965591,-0.862811940369652,-1.06885658284599,"MAC","3-2","-12.7","114","10","6.9-5.3","0.6","84.2","0.0","5.5","0.1","0.0","0.0","MAC",72,"114","--","52","133","100","103",0.116590779623928,0.0579500556964692
"UL Monroe Warhawks","Sun Belt","44.0",89,"21.8",116,"65.6",44,"64.2",32,0.55374497665515,1.24914564501278,-0.605256137274234,-0.914323100988736,"Sun Belt","3-1","-10.5","107","5","5.5-6.5","0.0","48.0","3.5","0.9","0.1","0.0","0.0","Sun Belt",41,"107","--","16","79","83","84",-0.682614003474744,0.0708278458512401
"Old Dominion Monarchs","Sun Belt","43.7",90,"30.1",103,"62.1",53,"36.7",106,0.579500556964692,0.914323100988736,-0.373455914488357,0.991589841917362,"Sun Belt","1-3","-6.5","94","9","4.6-7.5","0.1","27.4","4.7","1.8","0.0","0.0","0.0","Sun Belt",98,"94","--","70","96","105","118",0.78689156544862,0.527989396345608
"Western Michigan Broncos","MAC","41.8",91,"61.3",51,"30.1",112,"44.3",91,0.605256137274234,-0.424967075107441,1.14612332377461,0.605256137274234,"MAC","1-3","-11.4","111","4","5.4-6.8","0.5","45.6","0.0","3.9","0.0","0.0","0.0","MAC",114,"111","--","13","125","99","114",1.19938435672535,0.48291713080391
"Nevada Wolf Pack","Mountain West","41.7",92,"47.1",76,"44.9",89,"33.3",119,0.631011717583776,0.218922432631106,0.55374497665515,1.32641238594141,"Mountain West","2-3","-7.1","96","2","5.3-7.7","0.0","43.2","0.0","0.6","0.0","0.0","0.0","Mountain West",95,"96","--","75","71","87","79",0.709549167084232,0.682522878202859
"UCLA Bruins","Big Ten","40.4",93,"30.4",100,"50.3",75,"59.0",47,0.656767297893317,0.837056360060111,0.193166852321564,-0.527989396345608,"Big Ten","1-3","-2.6","78","4","2.9-9.1","0.0","2.3","0.0","0.0","0.0","0.0","0.0","Big Ten",85,"78","--","17","27","104","132",0.451741172536274,0.289750278482346
