"team","conference","w_l","fpi","rk","trend","proj_w_l","win_out_percent","x6wins_percent","win_div_percent","win_conf_percent","playoff_percent","make_nc_percent","win_nc_percent"
"Troy Trojans","Sun Belt","1-4","-8.4","100","7","4.0-8.0","0.2","13.7","2.0","0.5","0.0","0.0","0.0"
"Eastern Michigan Eagles","MAC","4-1","-8.7","101","5","8.1-4.2","0.9","96.1","0.0","10.6","0.6","0.0","0.0"
"Jacksonville State Gamecocks","CUSA","1-3","-9.0","102","3","5.8-6.4","0.9","56.4","0.0","9.7","0.0","0.0","0.0"
"UTSA Roadrunners","American","2-3","-9.6","103","3","5.4-6.6","0.3","48.2","0.0","0.2","0.0","0.0","0.0"
"Florida Atlantic Owls","American","2-3","-9.7","104","4","5.6-6.4","0.8","52.3","0.0","0.3","0.0","0.0","0.0"
"Ohio Bobcats","MAC","3-2","-10.4","105","6","7.0-5.2","0.6","87.0","0.0","7.0","0.0","0.0","0.0"
"Arkansas State Red Wolves","Sun Belt","2-2","-10.5","106","1","5.4-6.6","0.0","47.0","4.5","1.0","0.0","0.0","0.0"
"UL Monroe Warhawks","Sun Belt","3-1","-10.5","107","5","5.5-6.5","0.0","48.0","3.5","0.9","0.1","0.0","0.0"
"Georgia State Panthers","Sun Belt","2-2","-10.6","108","7","4.5-7.5","0.0","23.3","0.5","0.1","0.0","0.0","0.0"
"Hawai'i Rainbow Warriors","Mountain West","2-2","-11.2","109","1","4.7-7.4","0.0","25.4","0.0","0.3","0.0","0.0","0.0"
"UAB Blazers","American","1-3","-11.4","110","8","3.8-8.2","0.0","11.0","0.0","0.0","0.0","0.0","0.0"
"Western Michigan Broncos","MAC","1-3","-11.4","111","4","5.4-6.8","0.5","45.6","0.0","3.9","0.0","0.0","0.0"
"Florida International Panthers","CUSA","2-3","-12.0","112","5","5.9-6.3","0.7","61.8","0.0","6.6","0.0","0.0","0.0"
"San Diego State Aztecs","Mountain West","1-3","-12.5","113","5","4.0-8.0","0.0","14.0","0.0","0.3","0.0","0.0","0.0"
"Buffalo Bulls","MAC","3-2","-12.7","114","10","6.9-5.3","0.6","84.2","0.0","5.5","0.1","0.0","0.0"
"Central Michigan Chippewas","MAC","3-2","-12.7","115","1","5.4-6.6","0.0","46.2","0.0","1.6","0.0","0.0","0.0"
"Rice Owls","American","1-4","-12.8","116","3","3.0-9.0","0.0","2.3","0.0","0.0","0.0","0.0","0.0"
"New Mexico Lobos","Mountain West","1-4","-13.0","117","4","4.1-7.9","0.2","16.5","0.0","0.2","0.0","0.0","0.0"
"Colorado State Rams","Mountain West","2-2","-13.0","118","2","5.1-6.9","0.0","38.5","0.0","0.1","0.0","0.0","0.0"
"Air Force Falcons","Mountain West","1-3","-13.7","119","3","3.4-8.6","0.0","7.6","0.0","0.0","0.0","0.0","0.0"
"Louisiana Tech Bulldogs","CUSA","1-3","-13.8","120","1","4.7-7.3","0.0","28.5","0.0","1.4","0.0","0.0","0.0"
"Tulsa Golden Hurricane","American","2-3","-14.1","121","12","4.7-7.4","0.1","26.8","0.0","0.1","0.0","0.0","0.0"
"Wyoming Cowboys","Mountain West","1-4","-15.4","122","3","3.2-8.8","0.0","2.8","0.0","0.2","0.0","0.0","0.0"
"Charlotte 49ers","American","2-3","-16.2","123","1","3.6-8.4","0.0","6.1","0.0","0.1","0.0","0.0","0.0"
"Utah State Aggies","Mountain West","1-3","-16.8","124","2","3.3-8.7","0.0","4.7","0.0","0.1","0.0","0.0","0.0"
"Southern Miss Golden Eagles","Sun Belt","1-3","-17.7","125","1","2.5-9.5","0.0","1.2","0.2","0.0","0.0","0.0","0.0"
"Middle Tennessee Blue Raiders","CUSA","1-4","-17.8","126","4","3.9-8.2","0.1","10.9","0.0","0.3","0.0","0.0","0.0"
"UTEP Miners","CUSA","0-4","-17.9","127","2","2.9-9.1","0.0","2.5","0.0","0.2","0.0","0.0","0.0"
"Akron Zips","MAC","1-4","-18.4","128","5","3.2-8.8","0.0","3.4","0.0","0.1","0.0","0.0","0.0"
"Massachusetts Minutemen","FBS Indep.","1-4","-18.7","129","3","2.6-9.4","0.0","0.1","0.0","0.0","0.0","0.0","0.0"
"Temple Owls","American","1-4","-19.5","130","3","2.4-9.6","0.0","0.4","0.0","0.0","0.0","0.0","0.0"
"New Mexico State Aggies","CUSA","1-4","-21.0","131","2","2.8-9.2","0.0","1.4","0.0","0.0","0.0","0.0","0.0"
"Kennesaw State Owls","CUSA","0-4","-21.3","132","1","1.8-10.2","0.0","0.6","0.0","0.0","0.0","0.0","0.0"
"Ball State Cardinals","MAC","1-3","-22.4","133","5","2.7-9.3","0.0","1.5","0.0","0.0","0.0","0.0","0.0"
"Kent State Golden Flashes","MAC","0-5","-28.4","134","--","1.2-10.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
